Company/Brand,Location,Sector,What it does,Investor,Amount,Stage,Year
Ruangguru,Mumbai,EdTech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",General Atlantic,150000000.0,Series C,2018
Eduisfun,Mumbai,EdTech,It aims to make learning fun via games.,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Fresh funding,2018
HomeLane,Chennai,Interior design,Provides interior designing solutions,"Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000.0,Series D,2018
Nu Genes,Telangana,AgriTech,"It is a seed company engaged in production, processing and marketing of seeds",Innovation in Food and Agriculture (IFA),6000000.0,,2018
FlytBase,Pune,Technology,A drone automation platform,Undisclosed,120739224.38339223,,2018
Finly,Bangalore,SaaS,"It builds software products that makes work simpler, pleasant, and productive","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",120739224.38339223,,2018
Kratikal,Noida,Technology,It is a product-based cybersecurity solutions provider,"Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000.0,Pre series A,2018
Lenskart,Delhi,E-commerce,It is a eyewear company,SoftBank,275000000.0,Series G,2018
Cub McPaws,Mumbai,E-commerce & AR,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,Venture Catalysts,120739224.38339223,,2018
Appnomic,Bangalore,SaaS,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",Avataar Ventures,22000000.0,,2018
Kaleidofin,Chennai,FinTech,Platform that provides complete financial solutions for excluded individuals and households,Oikocredit,5000000.0,Series A,2018
JobSquare,Ahmedabad,HR tech,Technology-based platform that is connecting suitable applicants to the right recruiters,Titan Capital,140500.0,,2018
LivFin,Delhi,FinTech,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",German development finance institution DEG,5000000.0,,2018
Zest Money,Bangalore,FinTech,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,Goldman Sachs.,15000000.0,Series B,2018
Azah Personal Care Pvt. Ltd.,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Kunal Bahl, Rohit Bansal.",120739224.38339223,Pre series A,2018
DROR Labs Pvt. Ltd,Delhi,Safety tech,It uses technology to create a trust-based network of responsible citizens to ensure safety,Inflection Point Ventures,120739224.38339223,,2018
Medlife,Bangalore,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,Wilson Global Opportunities Fund,15500000.0,,2018
Seekify,Delhi,SaaS,Customer Experience (CX) Automation platform,Sequoia Capita,1500000.0,Seed funding,2018
Toffee Insurance,Haryana,Insurance technology,Provides variety of insurance plans and policies,IVM Intersurer,5500000.0,Series A,2018
HungerBox,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000.0,Series C,2018
Licious,Bangalore,Food,Online meat shop,Vertex Growth Fund,30000000.0,Series E,2018
Pumpkart,Chandigarh,E-marketplace,B2B model for appliances and electrical products,Dinesh Dua,120739224.38339223,,2018
Asteria Aerospace,Bangalore,Robotics & AI,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",Reliance Industries,230000000.0,,2018
HappyEasyGo,Gurugram,Travel,Online flight booking,"Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",49400000.0,Series B+,2018
Zetwerk,Bangalore,Manufacturing,Provides facilities to get products manufactured.,"Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000.0,Series B,2018
Observe.AI,Bangalore,AI,Creates a voice AI platform,Scale Venture Partners,26000000.0,Series A,2018
Freshokartz,Jaipur,E-marketplace,Online fruits and vegetables delivery company,ThinkLab,150000.0,Pre series A,2018
Lil’ Goodness and sCool meal,Bangalore,Food & Nutrition,It empowers moms to provide the best of foods to their Lil' ones,"Sajan Pillai, Muthu Krishnan,",400000.0,,2018
Trell,Bangalore,Social Media,Blogging platform that enables people to create visual collections of their travel and local experiences,"Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000.0,Pre series A,2018
Bombay Shirt Company,Mumbai,E-commerce,Online custom shirt brand,Lightbox Ventures,8000000.0,,2018
MyGameMate,Bangalore,E-Sports,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,"Jindagi Live Angels,",100000.0,,2018
Afinoz,Noida,FinTech,Online financial marketplace for customized rate quotes on loans and investment products in India,Fintech innovation lab,120739224.38339223,,2018
Rein Games,Noida,Technology,"It develops, publishes and distributes games across various platforms","Manipal Education and Medical Group (MEMG) family office, Titan Capital",50000000.0,Pre series A,2018
Ecozen,Pune,AgriTech,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,Innovation in Food & Agriculture Fund (IFA Fund),6000000.0,Series A,2018
Box8,Mumbai,Foodtech,Enables to order food online,Trifecta Capital,120000000.0,,2018
Awign Enterprises,Bangalore,,It supplies workforce to the economy,"Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",4000000.0,Series A,2018
Purplle,Mumbai,Cosmetics,Online makeup and beauty products retailer,Goldman Sachs,30000000.0,Series C,2018
Freightwalla,Mumbai,B2B,Provides digital platform for businesses to plan and manage their international freight shipments online,"Amplo, FJ Labs, Rogue One Capital",4000000.0,Series A,2018
TapChief,Bangalore,,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,Blume Ventures.,1500000.0,Pre series A,2018
eJOHRI,Mumbai,Jewellery,Omnichannel marketplace for gems and jewellery,Rajesh Ranavat,1000000.0,Pre series A,2018
Binca Games,Mumbai,Games,It offers games that are available across India and UK.,Sunil Gavaskar,120739224.38339223,,2018
KredX,Bangalore,,Invoice discounting platform,Tiger Global Management,26000000.0,Series B,2018
m.Paani,Mumbai,,It digitizes and organises local retailers,"AC Ventures, Henkel",5500000.0,Series A,2018
Origo,Gurugram,AgriTech,It provides post-harvest management services for agricultural commodities,"Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000.0,,2018
WishADish,Delhi,Foodtech,Provides management solution for restaurants,Undisclosed,6000000.0,,2018
Ecom Express,Gurugram,Logistics,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,CDC Group,36000000.0,,2018
Stanza Living,Delhi,Accomodation,Provides comfortable and secure accomodation for students,Alteria Capital,5700000.0,,2018
PiBeam,Chennai,Automotive tech,It is engaged in building sustainable and affordable micro-mobility electric vehicles,GAIL (India) Ltd,50000000.0,,2018
Euler Motors,Delhi,Automotive tech,It is offering mobility as a service,"Blume Ventures, Emergent Ventures",2000000.0,,2018
Moms Co,New Delhi,E-commerce,It is into mother and baby care-focused consumer goods,"Saama Capital, DSG Consumer Partners",5000000.0,Series B,2018
Lawyered,Delhi,Legal tech,It helps to connect to legal advise online,"Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000.0,,2018
Cuemath,Bangalore,EdTech,It helps students to learn math online,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",5500000.0,,2018
Licious,Bangalore,Food,Online meat shop,Vertex Ventures,25000000.0,Series D,2018
Nivesh.com,Noida,Mutual Funds,The platform simplifies the process of investment,Windrose Capital,600000.0,,2018
Smart Institute,Surat,EdTech,A platform to learn online,HNI investors,1500000.0,,2018
CarDekho,Jaipur,Automobile,Enables people to buy and sell new/old cars.,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000.0,Series D,2018
Shadowfax,Bangalore,Logistics,A platform for delivery services,"Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000.0,Series D,2018
Credr,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000.0,,2018
Sportido,Noida,Sports,It is a sports discovery app that helps to find people and places to play 700+ sports,"Inflection Point Ventures, SucSEED Venture Partners.",120739224.38339223,Series B,2018
Sarva,Chennai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,"Venture fund, Fireside Ventures.",2800000.0,,2018
IndyFint,Bangalore,Virtual Banking,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Saravanan Adiseshan,2100000.0,Series A,2018
Ola,Bangalore,Transportation,It enables one to book cab online,"Kia Motors, Hyundai",311000000.0,,2018
Zoomcar,Bangalore,Transport & Rentals,A car rental service platform,Zoomcar Inc,4800000.0,,2018
Kratikal,Uttar pradesh,Technology,Provides cyber security solutions,"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000.0,Pre-series A,2018
Froogal,Hyderabad,Marketing & Customer loyalty,A cloud based Customer Loyalty & Engagement Platform,US-based angel investors,1000000.0,Pre series A,2018
Infra.Market,Mumbai,Infratech,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000.0,Series A,2018
Oyo,Gurugram,Hospitality,Provides rooms for comfortable stay,"MyPreferred Transformation, Avendus Finance, SoftBank",693000000.0,,2018
GoMechanic,Delhi,Automobile & Technology,Find automobile repair and maintenance service providers,Sequoia Capital,5000000.0,Series B,2018
Spinny,Delhi,Automobile,Online car retailer,"Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000.0,,2018
Ess Kay Fincorp,Rajasthan,Banking,Organised Non-Banking Finance Company,"TPG, Norwest Venture Partners, Evolvence India",33000000.0,,2018
Ruangguru,Mumbai,EdTech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",General Atlantic,150000000.0,Series C,2019
Eduisfun,Mumbai,EdTech,It aims to make learning fun via games.,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Fresh funding,2019
HomeLane,Chennai,Interior design,Provides interior designing solutions,"Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000.0,Series D,2019
Nu Genes,Telangana,AgriTech,"It is a seed company engaged in production, processing and marketing of seeds",Innovation in Food and Agriculture (IFA),6000000.0,,2019
FlytBase,Pune,Technology,A drone automation platform,Undisclosed,120739224.38339223,,2019
Finly,Bangalore,SaaS,"It builds software products that makes work simpler, pleasant, and productive","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",120739224.38339223,,2019
Kratikal,Noida,Technology,It is a product-based cybersecurity solutions provider,"Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000.0,Pre series A,2019
Lenskart,Delhi,E-commerce,It is a eyewear company,SoftBank,275000000.0,Series G,2019
Cub McPaws,Mumbai,E-commerce & AR,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,Venture Catalysts,120739224.38339223,,2019
Appnomic,Bangalore,SaaS,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",Avataar Ventures,22000000.0,,2019
Kaleidofin,Chennai,FinTech,Platform that provides complete financial solutions for excluded individuals and households,Oikocredit,5000000.0,Series A,2019
JobSquare,Ahmedabad,HR tech,Technology-based platform that is connecting suitable applicants to the right recruiters,Titan Capital,140500.0,,2019
LivFin,Delhi,FinTech,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",German development finance institution DEG,5000000.0,,2019
Zest Money,Bangalore,FinTech,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,Goldman Sachs.,15000000.0,Series B,2019
Azah Personal Care Pvt. Ltd.,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Kunal Bahl, Rohit Bansal.",120739224.38339223,Pre series A,2019
DROR Labs Pvt. Ltd,Delhi,Safety tech,It uses technology to create a trust-based network of responsible citizens to ensure safety,Inflection Point Ventures,120739224.38339223,,2019
Medlife,Bangalore,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,Wilson Global Opportunities Fund,15500000.0,,2019
Seekify,Delhi,SaaS,Customer Experience (CX) Automation platform,Sequoia Capita,1500000.0,Seed funding,2019
Toffee Insurance,Haryana,Insurance technology,Provides variety of insurance plans and policies,IVM Intersurer,5500000.0,Series A,2019
HungerBox,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000.0,Series C,2019
Licious,Bangalore,Food,Online meat shop,Vertex Growth Fund,30000000.0,Series E,2019
Pumpkart,Chandigarh,E-marketplace,B2B model for appliances and electrical products,Dinesh Dua,120739224.38339223,,2019
Asteria Aerospace,Bangalore,Robotics & AI,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",Reliance Industries,230000000.0,,2019
HappyEasyGo,Gurugram,Travel,Online flight booking,"Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",49400000.0,Series B+,2019
Zetwerk,Bangalore,Manufacturing,Provides facilities to get products manufactured.,"Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000.0,Series B,2019
Observe.AI,Bangalore,AI,Creates a voice AI platform,Scale Venture Partners,26000000.0,Series A,2019
Freshokartz,Jaipur,E-marketplace,Online fruits and vegetables delivery company,ThinkLab,150000.0,Pre series A,2019
Lil’ Goodness and sCool meal,Bangalore,Food & Nutrition,It empowers moms to provide the best of foods to their Lil' ones,"Sajan Pillai, Muthu Krishnan,",400000.0,,2019
Trell,Bangalore,Social Media,Blogging platform that enables people to create visual collections of their travel and local experiences,"Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000.0,Pre series A,2019
Bombay Shirt Company,Mumbai,E-commerce,Online custom shirt brand,Lightbox Ventures,8000000.0,,2019
MyGameMate,Bangalore,E-Sports,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,"Jindagi Live Angels,",100000.0,,2019
Afinoz,Noida,FinTech,Online financial marketplace for customized rate quotes on loans and investment products in India,Fintech innovation lab,120739224.38339223,,2019
Rein Games,Noida,Technology,"It develops, publishes and distributes games across various platforms","Manipal Education and Medical Group (MEMG) family office, Titan Capital",50000000.0,Pre series A,2019
Ecozen,Pune,AgriTech,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,Innovation in Food & Agriculture Fund (IFA Fund),6000000.0,Series A,2019
Box8,Mumbai,Foodtech,Enables to order food online,Trifecta Capital,120000000.0,,2019
Awign Enterprises,Bangalore,,It supplies workforce to the economy,"Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",4000000.0,Series A,2019
Purplle,Mumbai,Cosmetics,Online makeup and beauty products retailer,Goldman Sachs,30000000.0,Series C,2019
Freightwalla,Mumbai,B2B,Provides digital platform for businesses to plan and manage their international freight shipments online,"Amplo, FJ Labs, Rogue One Capital",4000000.0,Series A,2019
TapChief,Bangalore,,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,Blume Ventures.,1500000.0,Pre series A,2019
eJOHRI,Mumbai,Jewellery,Omnichannel marketplace for gems and jewellery,Rajesh Ranavat,1000000.0,Pre series A,2019
Binca Games,Mumbai,Games,It offers games that are available across India and UK.,Sunil Gavaskar,120739224.38339223,,2019
KredX,Bangalore,,Invoice discounting platform,Tiger Global Management,26000000.0,Series B,2019
m.Paani,Mumbai,,It digitizes and organises local retailers,"AC Ventures, Henkel",5500000.0,Series A,2019
Origo,Gurugram,AgriTech,It provides post-harvest management services for agricultural commodities,"Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000.0,,2019
WishADish,Delhi,Foodtech,Provides management solution for restaurants,Undisclosed,6000000.0,,2019
Ecom Express,Gurugram,Logistics,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,CDC Group,36000000.0,,2019
Stanza Living,Delhi,Accomodation,Provides comfortable and secure accomodation for students,Alteria Capital,5700000.0,,2019
PiBeam,Chennai,Automotive tech,It is engaged in building sustainable and affordable micro-mobility electric vehicles,GAIL (India) Ltd,50000000.0,,2019
Euler Motors,Delhi,Automotive tech,It is offering mobility as a service,"Blume Ventures, Emergent Ventures",2000000.0,,2019
Moms Co,New Delhi,E-commerce,It is into mother and baby care-focused consumer goods,"Saama Capital, DSG Consumer Partners",5000000.0,Series B,2019
Lawyered,Delhi,Legal tech,It helps to connect to legal advise online,"Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000.0,,2019
Cuemath,Bangalore,EdTech,It helps students to learn math online,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",5500000.0,,2019
Licious,Bangalore,Food,Online meat shop,Vertex Ventures,25000000.0,Series D,2019
Nivesh.com,Noida,Mutual Funds,The platform simplifies the process of investment,Windrose Capital,600000.0,,2019
Smart Institute,Surat,EdTech,A platform to learn online,HNI investors,1500000.0,,2019
CarDekho,Jaipur,Automobile,Enables people to buy and sell new/old cars.,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000.0,Series D,2019
Shadowfax,Bangalore,Logistics,A platform for delivery services,"Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000.0,Series D,2019
Credr,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000.0,,2019
Sportido,Noida,Sports,It is a sports discovery app that helps to find people and places to play 700+ sports,"Inflection Point Ventures, SucSEED Venture Partners.",120739224.38339223,Series B,2019
Sarva,Chennai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,"Venture fund, Fireside Ventures.",2800000.0,,2019
IndyFint,Bangalore,Virtual Banking,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Saravanan Adiseshan,2100000.0,Series A,2019
Ola,Bangalore,Transportation,It enables one to book cab online,"Kia Motors, Hyundai",311000000.0,,2019
Zoomcar,Bangalore,Transport & Rentals,A car rental service platform,Zoomcar Inc,4800000.0,,2019
Kratikal,Uttar pradesh,Technology,Provides cyber security solutions,"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000.0,Pre-series A,2019
Froogal,Hyderabad,Marketing & Customer loyalty,A cloud based Customer Loyalty & Engagement Platform,US-based angel investors,1000000.0,Pre series A,2019
Infra.Market,Mumbai,Infratech,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000.0,Series A,2019
Oyo,Gurugram,Hospitality,Provides rooms for comfortable stay,"MyPreferred Transformation, Avendus Finance, SoftBank",693000000.0,,2019
GoMechanic,Delhi,Automobile & Technology,Find automobile repair and maintenance service providers,Sequoia Capital,5000000.0,Series B,2019
Spinny,Delhi,Automobile,Online car retailer,"Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000.0,,2019
Ess Kay Fincorp,Rajasthan,Banking,Organised Non-Banking Finance Company,"TPG, Norwest Venture Partners, Evolvence India",33000000.0,,2019
Unbox Robotics,Bangalore,AI,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","BEENEXT, Entrepreneur First",1200000.0,Pre-series A,2021
upGrad,Mumbai,EdTech,UpGrad is an online higher education platform.,"Unilazer Ventures, IIFL Asset Management",120000000.0,,2021
Lead School,Mumbai,EdTech,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"GSV Ventures, Westbridge Capital",30000000.0,Series D,2021
Bizongo,Mumbai,B2B E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"CDC Group, IDG Capital",51000000.0,Series C,2021
FypMoney,Gurugram,FinTech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.","Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000.0,Seed,2021
Urban Company,New Delhi,Home services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",Vy Capital,188000000.0,,2021
Comofi Medtech,Bangalore,HealthTech,Comofi Medtech is a healthcare robotics startup.,"CIIE.CO, KIIT-TBI",200000.0,,2021
Qube Health,Mumbai,HealthTech,India's Most Respected Workplace Healthcare Management Company,Inflection Point Ventures,0.0,Pre-series A,2021
Vitra.ai,Bangalore,Tech Startup,Vitra.ai is an AI-based video translation platform,Inflexor Ventures,0.0,,2021
Taikee,Mumbai,E-commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",,1000000.0,,2021
Fitterfly,Mumbai,HealthTech,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.","9Unicorns Accelerator Fund, Metaform Ventures",3000000.0,Pre-series A,2021
FreeStand,New Delhi,B2B service,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"SucSEED Indovation, IIM Calcutta Innovation Park",100000.0,,2021
MyDentalPlan,Bangalore,Helathcare,My Dental Plan provides dental care packages and services.,Safe Planet Medicare,700000.0,Seed,2021
Freyr Energy,Hyderabad,Renewable Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Impact Partners, C4D Partners",2000000.0,,2021
DealShare,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Tiger Global Management, InnoVen Capital",9000000.0,,2021
Tessolve,Bangalore,Electronics,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",Novo Tellus Capital,40000000.0,,2021
Smart Joules,New Delhi,Renewable Energy,Smart Joules is an energy management company.,"Raintree Family Office, ADB arm",49000000.0,,2021
ORAI,Bangalore,IT,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,Inflection Point Ventures,400000.0,Pre-series A,2021
ixamBee,New Delhi,EdTech,ixamBee is to provide best online learning experience for preparation of competitive exams.,"Mumbai Angels, Narendra Shyamsukha",300000.0,Seed,2021
CoinSwitch Kuber,Bangalore,FinTech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Paradigm, Kunal Shah",25000000.0,Series B,2021
Razorpay,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Matrix Partners India, GIC",160000000.0,Series E,2021
Uable,Bangalore,EdTech,Uable offers role based programmes to empower children to explore different domains.,"Chiratae Ventures, JAFCO Asia",0.0,Seed,2021
ZFW Hospitality,New Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,"Mumbai Angels Network, Expert DOJO",150000.0,Pre-seed,2021
Optimized Electrotech,Ahmadabad,Aeorspace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",GVFL,1800000.0,Pre-series A,2021
Northern Arc,Chennai,FinTech,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,"Kotak Mahindra Bank, FMO",5000000.0,,2021
Chara,Bangalore,Deeptech,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",Kalaari Capital,850000.0,Seed,2021
Sirona Hygiene,New Delhi,HealthTech,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"NB Ventures, IAN Fund",3000000.0,Series A,2021
Pristyn Care,Gurugram,HealthTech,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,"Sequoia Capital India, Hummingbird Ventures",53000000.0,Series D,2021
TrulyMadly,New Delhi,Dating,Trulymadly is a dating platform that uses a match making algorithm.,"Gaurav Munjal, Snehil Khanor",2000000.0,Pre-series A,2021
Jambox Games,Bangalore,Gaming,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",,1100000.0,Seed,2021
Miko,Mumbai,Robotics,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chiratae Ventures, YourNest Venture Capital",6000000.0,,2021
SuperK,Small Towns,Retail,SuperK is a full-stack solution to empower small format retail stores in India.,STRIVE VC,800000.0,Seed,2021
TagZ Foods,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,Venture Catalysts,500000.0,Pre-series A,2021
Fuel Buddy,New Delhi,Oil & Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Jaipuria Family Office,1000000.0,,2021
M1xchange,Gurugram,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Amazon,10000000.0,,2021
Spintly,Goa,Tech Startup,Wireless cloud based access control platform,Riso Capital,500000.0,,2021
EF Polymer,Rajsamand,AgriTech,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,MTG Ventures,200000.0,,2021
boAt,New Delhi,Electronics,boAt is a consumer electronics and lifestyle company.,"Qualcomm Ventures, Warburg Pincus",6000000.0,,2021
TruNativ,Mumbai,Food & Beverages,TruNativ Foods & Beverages Pvt Ltd,9Unicorns,0.0,Seed,2021
iBus,Bangalore,Telecommunications,iBus Networks is an in-building connectivity solutions company,Morgan Stanley,21000000.0,,2021
Puresh Daily,Ranchi,Milk startup,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Alfa Ventures, Agility Venture Partners",100000.0,Seed,2021
LearnVern,Ahmadabad,EdTech,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,,1000000.0,,2021
LimeChat,Faridabad,AI Chatbot,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Stellaris Venture Partners, Ramakant Sharma",7500000.0,Seed,2021
Dybo,Bangalore,IT,Product Visualisation Technology for Commerce,Spanache,100000.0,Seed,2021
moEVing,Gurugram,Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",,1000000.0,Seed,2021
WeWork India,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",,26000000.0,,2021
Solethreads,Gurugram,Fashion,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,"DSG Consumer Partners, Saama Capital",1000000.0,Series A,2021
Beldara,Mumbai,E-commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Hindustan Media Ventures,7400000.0,,2021
CredFlow,New Delhi,FinTech,CredFlow provides financial solutions to automate your cashflows.,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000.0,Seed,2021
Do Your Thng,Gurugram,Marketing,World's first shared economy platform for digital assets.,"Angelbay Holdings, Faad Network",1500000.0,,2021
Oye Rickshaw,Gurugram,Transportation,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Alteria Capital, Chiratae Ventures",3000000.0,,2021
Legitquest,New Delhi,LegalTech,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"WaterBridge Ventures, Info Edge",600000.0,,2021
Swiggy,Bangalore,Food delivery,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Carmignac, Falcon Edge Capital",800000000.0,,2021
AntWak,Bangalore,EdTech,AntWak provides a video platform for e-learning service.,"Vaibhav Domkundwar, Kunal Shah",0.0,Seed,2021
PlayShifu,Bangalore,EdTech,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Chiratae Ventures, Bharat Innovation Fund",17000000.0,Series B,2021
Pitstop,Bangalore,Automotive,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Acko Technology, Services, LetsVenture",3500000.0,Pre-series B,2021
Lendingkart,Gujarat,FinTech,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Bertelsmann India Investments, Fullerton Financial Holdings",15000000.0,Debt,2021
